,flight_id,aircraft_type,helicopter,manufacter
0,0,Wright Flyer III,False,Wright
1,1,Wright Byplane,False,Wright
2,2,Dirigible,False,Dirigible
3,3,Curtiss seaplane,False,Curtiss
4,4,Zeppelin L-1 (airship),False,Zeppelin
5,5,Zeppelin L-2 (airship),False,Zeppelin
6,6,Zeppelin L-8 (airship),False,Zeppelin
7,7,Zeppelin L-10 (airship),False,Zeppelin
8,8,Schutte-Lanz S-L-10 (airship),False,Schutte-Lanz
9,9,Zeppelin L-32 (airship),False,Zeppelin
10,10,Zeppelin L-31 (airship),False,Zeppelin
11,11,Super Zeppelin (airship),False,Super
12,12,Zeppelin L-34 (airship),False,Zeppelin
13,13,Airship,False,Airship
14,14,Schutte-Lanz S-L-9 (airship),False,Schutte-Lanz
15,15,Zeppelin L-22 (airship),False,Zeppelin
16,16,Zeppelin L-43 (airship),False,Zeppelin
17,17,Zepplin L-48 (air ship),False,Zepplin
18,18,Zeppelin L-23 (airship),False,Zeppelin
19,19,Zeppelin L-44 (airship),False,Zeppelin
20,20,Zeppelin L-59 (airship),False,Zeppelin
21,21,Zeppelin L-70 (airship),False,Zeppelin
22,22,Zeppelin L-53 (airship),False,Zeppelin
23,23,De Havilland DH-4,False,De
24,24,De Havilland DH-4,False,De
25,25,De Havilland DH-4,False,De
26,26,FD Type Dirigible,False,FD
27,27,Caproni Ca.48,False,Caproni
28,28,De Havilland DH-4,False,De
29,29,Curtiss R-4LM,False,Curtiss
30,30,De Havilland DH-4,False,De
31,31,De Havilland DH.4,False,De
32,32,de Havilland DH-4,False,de
33,33,De Havilland DH-4,False,De
34,34,De Havilland DH-4,False,De
35,35,Curtiss R-4LM,False,Curtiss
36,36,Curtiss JN-4H,False,Curtiss
37,37,De Havilland DH-4,False,De
38,38,De Havilland DH-4,False,De
39,39,Farman F-40,False,Farman
40,40,Armstrong-Whitworth F-K-8,False,Armstrong-Whitworth
41,41,De Havilland DH-4,False,De
42,42,Junkers JL-6,False,Junkers
43,43,Junkers F-13,False,Junkers
44,44,De Havilland DH-4,False,De
45,45,Salmson 2-A-2,False,Salmson
46,46,Breguet 14,False,Breguet
47,47,De Havilland DH-4,False,De
48,48,De Havilland DH-4,False,De
49,49,Handley Page HP-16,False,Handley
50,50,Breguet 14,False,Breguet
51,51,De Havilland DH-4,False,De
52,52,Junkers F-13,False,Junkers
53,53,Breguet 14,False,Breguet
54,54,De Havilland DH-4,False,De
55,55,Avro 504,False,Avro
56,56,De Havilland DH-4,False,De
57,57,De Havilland DH-4,False,De
58,58,De Havilland DH-4De Havilland DH-4,False,De
59,59,Breguet 14,False,Breguet
60,60,Royal Airship Works ZR-2 (airship),False,Royal
61,61,Potez IX,False,Potez
62,62,Bristol 28 Tourer,False,Bristol
63,63,Handley Page O/10,False,Handley
64,64,Dirigible Roma (airship),False,Dirigible
65,65,Aeromarine Model 85 (flying boat),False,Aeromarine
66,66,de Havilland DH-18 / Farman F-60 Goliath,False,de
67,67,,,
68,68,Bleriot Spad 27,False,Bleriot
69,69,LVG C VI,False,LVG
70,70,Potez 29,False,Potez
71,71,Breguet 14,False,Breguet
72,72,De Havilland DH-4,False,De
73,73,de Havilland DH-9,False,de
74,74,Breguet 14,False,Breguet
75,75,Breguet 14,False,Breguet
76,76,Lioré-et-Olivier H-13,False,Lioré-et-Olivier
77,77,Breguet 14,False,Breguet
78,78,De Havilland DH-4,False,De
79,79,De Havilland DH-4,False,De
80,80,Farman F-60 Goliath,False,Farman
