,flight_id,causes,date,route_simple
0,0,Sin datos,1908-09-17,Virginia
1,1,Sin datos,1909-09-07,France
2,2,Sin datos,1912-07-12,New Jersey
3,3,Sin datos,1913-08-06,Canada
4,4,Sin datos,1913-09-09,Over the North Sea
5,5,Sin datos,1913-10-17,Germany
6,6,Sin datos,1915-03-05,Belgium
7,7,Sin datos,1915-09-03,Germany
8,8,Sin datos,1916-07-28,Bulgeria
9,9,Sin datos,1916-09-24,England
10,10,Sin datos,1916-10-01,England
11,11,Sin datos,1916-11-21,Germany
12,12,Sin datos,1916-11-28,England
13,13,Sin datos,1917-03-04,Belgium
14,14,Sin datos,1917-03-30,Off Northern Germany
15,15,Sin datos,1917-05-14,North Sea
16,16,Sin datos,1917-06-14,North Sea
17,17,Sin datos,1917-06-17,England
18,18,Sin datos,1917-08-21,Off western Denmark
19,19,Sin datos,1917-10-20,France
20,20,Sin datos,1918-04-07,Over the Mediterranean
21,21,Sin datos,1918-08-05,Germany
22,22,Sin datos,1918-08-11,North Sea
23,23,Sin datos,1918-12-16,New Jersey
24,24,Sin datos,1919-05-25,Ohio
25,25,Sin datos,1919-07-19,Pennsylvania
26,26,Sin datos,1919-07-21,Illinois
27,27,Sin datos,1919-08-02,Italy
28,28,Sin datos,1919-10-02,England
29,29,Sin datos,1919-10-14,Maryland
30,30,Sin datos,1919-10-20,Kent
31,31,Sin datos,1919-10-30,New Jersey
32,32,Sin datos,1919-12-11,UK
33,33,Sin datos,1920-03-10,Indiana
34,34,Sin datos,1920-03-30,New Jersey
35,35,Sin datos,1920-04-10,New Jersey
36,36,Sin datos,1920-04-11,New Jersey
37,37,Sin datos,1920-05-12,Iowa
38,38,Sin datos,1920-06-06,Ohio
39,39,Sin datos,1920-07-20,Columbia
40,40,Sin datos,1920-08-16,England
41,41,Sin datos,1920-08-16,Maryland
42,42,Sin datos,1920-09-01,New Jersey
43,43,Sin datos,1920-09-15,Ohio
44,44,Sin datos,1920-09-27,Pennsylvania
45,45,Sin datos,1920-10-02,France
46,46,Sin datos,1920-10-05,Spain
47,47,Sin datos,1920-10-15,Illinois
48,48,Sin datos,1920-11-07,Wyoming
49,49,Sin datos,1920-12-14,England
50,50,Sin datos,1920-12-24,Spain
