,flight_id,people_onboard,passengers_onboard,crew_onboard,people_dead,passenger_dead,crew_dead,ground,total_fatalities
0,0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
1,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
2,2,5.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0
3,3,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
4,4,20.0,,,14.0,,,0.0,14.0
5,5,28.0,,,28.0,,,0.0,28.0
6,6,41.0,0.0,41.0,17.0,0.0,17.0,0.0,17.0
7,7,19.0,,,19.0,,,0.0,19.0
8,8,20.0,,,20.0,,,0.0,20.0
9,9,22.0,,,22.0,,,0.0,22.0
10,10,19.0,0.0,19.0,19.0,0.0,19.0,0.0,19.0
11,11,28.0,,,27.0,,,0.0,27.0
12,12,20.0,,,20.0,,,0.0,20.0
13,13,20.0,,,20.0,,,0.0,20.0
14,14,23.0,,,23.0,,,0.0,23.0
15,15,21.0,,,21.0,,,0.0,21.0
16,16,24.0,,,24.0,,,0.0,24.0
17,17,16.0,,,14.0,,,0.0,14.0
18,18,18.0,,,18.0,,,0.0,18.0
19,19,18.0,,,18.0,,,0.0,18.0
20,20,23.0,,,23.0,,,0.0,23.0
21,21,22.0,,,22.0,,,0.0,22.0
22,22,19.0,,,19.0,,,0.0,19.0
23,23,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
24,24,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
25,25,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
26,26,,,,3.0,2.0,1.0,10.0,13.0
27,27,14.0,12.0,2.0,14.0,12.0,2.0,0.0,14.0
28,28,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
29,29,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
30,30,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
31,31,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
32,32,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
33,33,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
34,34,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
35,35,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
36,36,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
37,37,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
38,38,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
39,39,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
40,40,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
41,41,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
42,42,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0
43,43,2.0,,,2.0,,,0.0,2.0
44,44,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
45,45,2.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0
46,46,2.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0
47,47,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
48,48,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
49,49,8.0,6.0,2.0,4.0,2.0,2.0,0.0,4.0
50,50,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
51,51,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
52,52,3.0,0.0,3.0,3.0,0.0,3.0,0.0,3.0
53,53,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0
54,54,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
55,55,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
56,56,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
57,57,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
58,58,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
59,59,2.0,,,2.0,,,0.0,2.0
60,60,49.0,0.0,49.0,43.0,0.0,43.0,1.0,44.0
61,61,5.0,4.0,1.0,5.0,4.0,1.0,0.0,5.0
62,62,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0
63,63,5.0,4.0,1.0,5.0,4.0,1.0,5.0,10.0
64,64,45.0,,,34.0,,,0.0,34.0
65,65,6.0,5.0,1.0,5.0,5.0,0.0,0.0,5.0
66,66,7.0,5.0,2.0,7.0,5.0,2.0,0.0,7.0
67,67,17.0,0.0,17.0,17.0,0.0,17.0,0.0,17.0
68,68,3.0,2.0,1.0,3.0,2.0,1.0,0.0,3.0
69,69,3.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0
70,70,5.0,4.0,1.0,5.0,4.0,1.0,0.0,5.0
71,71,3.0,2.0,1.0,3.0,2.0,1.0,0.0,3.0
72,72,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
73,73,4.0,3.0,1.0,4.0,3.0,1.0,0.0,4.0
74,74,2.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0
75,75,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
76,76,4.0,2.0,2.0,3.0,1.0,2.0,0.0,3.0
77,77,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
78,78,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
79,79,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
80,80,6.0,4.0,2.0,6.0,4.0,2.0,0.0,6.0
81,81,11.0,9.0,2.0,1.0,1.0,0.0,0.0,1.0
82,82,2.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0
83,83,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
84,84,5.0,3.0,2.0,5.0,3.0,2.0,0.0,5.0
85,85,5.0,2.0,3.0,3.0,1.0,2.0,0.0,3.0
86,86,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
87,87,52.0,,,52.0,,,0.0,52.0
88,88,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
89,89,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
90,90,3.0,2.0,1.0,3.0,2.0,1.0,0.0,3.0
91,91,5.0,3.0,2.0,5.0,3.0,2.0,0.0,5.0
92,92,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
93,93,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
94,94,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
95,95,8.0,7.0,1.0,8.0,7.0,1.0,0.0,8.0
96,96,5.0,3.0,2.0,5.0,3.0,2.0,0.0,5.0
97,97,3.0,1.0,2.0,3.0,1.0,2.0,0.0,3.0
98,98,4.0,3.0,1.0,4.0,3.0,1.0,0.0,4.0
99,99,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0
