Date,UAL,BA,BDRAF,THYAO,AFPA,ZNH,DJI,TXT,IAG,AAL,LHADE,LUV,DAL,SP500,ERJ
1962-01-02,,0.823045,,,,,,,,,,,,,
1962-01-03,,0.839506,,,,,,,,,,,,,
1962-01-04,,0.831276,,,,,,,,,,,,,
1962-01-05,,0.814815,,,,,,,,,,,,,
1962-01-08,,0.816872,,,,,,,,,,,,,
1962-01-09,,0.81893,,,,,,,,,,,,,
1962-01-10,,0.81893,,,,,,,,,,,,,
1962-01-11,,0.82716,,,,,,,,,,,,,
1962-01-12,,0.849794,,,,,,,,,,,,,
1962-01-15,,0.833333,,,,,,,,,,,,,
1962-01-16,,0.82716,,,,,,,,,,,,,
1962-01-17,,0.829218,,,,,,,,,,,,,
1962-01-18,,0.833333,,,,,,,,,,,,,
1962-01-19,,0.872428,,,,,,,,,,,,,
1962-01-22,,0.87037,,,,,,,,,,,,,
1962-01-23,,0.872428,,,,,,,,,,,,,
1962-01-24,,0.876543,,,,,,,,,,,,,
1962-01-25,,0.897119,,,,,,,,,,,,,
1962-01-26,,0.893004,,,,,,,,,,,,,
1962-01-29,,0.897119,,,,,,,,,,,,,
1962-01-30,,0.90535,,,,,,,,,,,,,
1962-01-31,,0.923868,,,,,,,,,,,,,
1962-02-01,,0.903292,,,,,,,,,,,,,
1962-02-02,,0.911523,,,,,,,,,,,,,
1962-02-05,,0.895062,,,,,,,,,,,,,
1962-02-06,,0.895062,,,,,,,,,,,,,
1962-02-07,,0.895062,,,,,,,,,,,,,
1962-02-08,,0.897119,,,,,,,,,,,,,
1962-02-09,,0.91358,,,,,,,,,,,,,
1962-02-12,,0.899177,,,,,,,,,,,,,
1962-02-13,,0.90535,,,,,,,,,,,,,
1962-02-14,,0.911523,,,,,,,,,,,,,
1962-02-15,,0.917695,,,,,,,,,,,,,
1962-02-16,,0.907407,,,,,,,,,,,,,
1962-02-19,,0.903292,,,,,,,,,,,,,
1962-02-20,,0.899177,,,,,,,,,,,,,
1962-02-21,,0.888889,,,,,,,,,,,,,
1962-02-23,,0.860082,,,,,,,,,,,,,
1962-02-26,,0.864198,,,,,,,,,,,,,
1962-02-27,,0.874486,,,,,,,,,,,,,
1962-02-28,,0.882716,,,,,,,,,,,,,
1962-03-01,,0.872428,,,,,,,,,,,,,
1962-03-02,,0.864198,,,,,,,,,,,,,
1962-03-05,,0.86214,,,,,,,,,,,,,
1962-03-06,,0.833333,,,,,,,,,,,,,
1962-03-07,,0.831276,,,,,,,,,,,,,
1962-03-08,,0.847737,,,,,,,,,,,,,
1962-03-09,,0.843621,,,,,,,,,,,,,
1962-03-12,,0.849794,,,,,,,,,,,,,
1962-03-13,,0.847737,,,,,,,,,,,,,
1962-03-14,,0.847737,,,,,,,,,,,,,
1962-03-15,,0.835391,,,,,,,,,,,,,
1962-03-16,,0.833333,,,,,,,,,,,,,
1962-03-19,,0.81893,,,,,,,,,,,,,
1962-03-20,,0.816872,,,,,,,,,,,,,
1962-03-21,,0.816872,,,,,,,,,,,,,
1962-03-22,,0.829218,,,,,,,,,,,,,
1962-03-23,,0.829218,,,,,,,,,,,,,
1962-03-26,,0.82716,,,,,,,,,,,,,
1962-03-27,,0.833333,,,,,,,,,,,,,
1962-03-28,,0.835391,,,,,,,,,,,,,
1962-03-29,,0.839506,,,,,,,,,,,,,
1962-03-30,,0.825103,,,,,,,,,,,,,
1962-04-02,,0.82716,,,,,,,,,,,,,
1962-04-03,,0.8107,,,,,,,,,,,,,
1962-04-04,,0.790123,,,,,,,,,,,,,
1962-04-05,,0.798354,,,,,,,,,,,,,
1962-04-06,,0.792181,,,,,,,,,,,,,
1962-04-09,,0.777778,,,,,,,,,,,,,
1962-04-10,,0.773663,,,,,,,,,,,,,
1962-04-11,,0.796296,,,,,,,,,,,,,
1962-04-12,,0.771605,,,,,,,,,,,,,
1962-04-13,,0.783951,,,,,,,,,,,,,
1962-04-16,,0.771605,,,,,,,,,,,,,
1962-04-17,,0.769547,,,,,,,,,,,,,
1962-04-18,,0.777778,,,,,,,,,,,,,
1962-04-19,,0.796296,,,,,,,,,,,,,
1962-04-23,,0.812757,,,,,,,,,,,,,
1962-04-24,,0.8107,,,,,,,,,,,,,
1962-04-25,,0.800412,,,,,,,,,,,,,
1962-04-26,,0.769547,,,,,,,,,,,,,
1962-04-27,,0.763374,,,,,,,,,,,,,
1962-04-30,,0.740741,,,,,,,,,,,,,
1962-05-01,,0.773663,,,,,,,,,,,,,
1962-05-02,,0.781893,,,,,,,,,,,,,
1962-05-03,,0.777778,,,,,,,,,,,,,
1962-05-04,,0.773663,,,,,,,,,,,,,
1962-05-07,,0.777778,,,,,,,,,,,,,
1962-05-08,,0.744856,,,,,,,,,,,,,
1962-05-09,,0.738683,,,,,,,,,,,,,
1962-05-10,,0.738683,,,,,,,,,,,,,
1962-05-11,,0.728395,,,,,,,,,,,,,
1962-05-14,,0.726337,,,,,,,,,,,,,
1962-05-15,,0.751029,,,,,,,,,,,,,
1962-05-16,,0.742798,,,,,,,,,,,,,
1962-05-17,,0.740741,,,,,,,,,,,,,
1962-05-18,,0.740741,,,,,,,,,,,,,
1962-05-21,,0.728395,,,,,,,,,,,,,
1962-05-22,,0.711934,,,,,,,,,,,,,
1962-05-23,,0.691358,,,,,,,,,,,,,
1962-05-24,,0.664609,,,,,,,,,,,,,
1962-05-25,,0.656379,,,,,,,,,,,,,
1962-05-28,,0.592593,,,,,,,,,,,,,
1962-05-29,,0.67284,,,,,,,,,,,,,
1962-05-31,,0.711934,,,,,,,,,,,,,
1962-06-01,,0.716049,,,,,,,,,,,,,
1962-06-04,,0.662551,,,,,,,,,,,,,
1962-06-05,,0.697531,,,,,,,,,,,,,
1962-06-06,,0.711934,,,,,,,,,,,,,
1962-06-07,,0.695473,,,,,,,,,,,,,
1962-06-08,,0.697531,,,,,,,,,,,,,
1962-06-11,,0.683128,,,,,,,,,,,,,
1962-06-12,,0.666667,,,,,,,,,,,,,
1962-06-13,,0.650206,,,,,,,,,,,,,
1962-06-14,,0.627572,,,,,,,,,,,,,
1962-06-15,,0.670782,,,,,,,,,,,,,
1962-06-18,,0.674897,,,,,,,,,,,,,
1962-06-19,,0.670782,,,,,,,,,,,,,
1962-06-20,,0.67284,,,,,,,,,,,,,
1962-06-21,,0.652263,,,,,,,,,,,,,
1962-06-22,,0.621399,,,,,,,,,,,,,
1962-06-25,,0.631687,,,,,,,,,,,,,
1962-06-26,,0.631687,,,,,,,,,,,,,
1962-06-27,,0.63786,,,,,,,,,,,,,
1962-06-28,,0.660494,,,,,,,,,,,,,
1962-06-29,,0.670782,,,,,,,,,,,,,
1962-07-02,,0.676955,,,,,,,,,,,,,
1962-07-03,,0.6893,,,,,,,,,,,,,
1962-07-05,,0.6893,,,,,,,,,,,,,
1962-07-06,,0.664609,,,,,,,,,,,,,
1962-07-09,,0.664609,,,,,,,,,,,,,
1962-07-10,,0.68107,,,,,,,,,,,,,
1962-07-11,,0.685185,,,,,,,,,,,,,
1962-07-12,,0.679012,,,,,,,,,,,,,
1962-07-13,,0.68107,,,,,,,,,,,,,
1962-07-16,,0.664609,,,,,,,,,,,,,
1962-07-17,,0.648148,,,,,,,,,,,,,
1962-07-18,,0.644033,,,,,,,,,,,,,
1962-07-19,,0.646091,,,,,,,,,,,,,
1962-07-20,,0.660494,,,,,,,,,,,,,
1962-07-23,,0.654321,,,,,,,,,,,,,
1962-07-24,,0.648148,,,,,,,,,,,,,
1962-07-25,,0.648148,,,,,,,,,,,,,
1962-07-26,,0.648148,,,,,,,,,,,,,
1962-07-27,,0.652263,,,,,,,,,,,,,
1962-07-30,,0.666667,,,,,,,,,,,,,
1962-07-31,,0.674897,,,,,,,,,,,,,
1962-08-01,,0.674897,,,,,,,,,,,,,
1962-08-02,,0.674897,,,,,,,,,,,,,
1962-08-03,,0.674897,,,,,,,,,,,,,
1962-08-06,,0.639918,,,,,,,,,,,,,
1962-08-07,,0.631687,,,,,,,,,,,,,
1962-08-08,,0.648148,,,,,,,,,,,,,
1962-08-09,,0.639918,,,,,,,,,,,,,
1962-08-10,,0.635802,,,,,,,,,,,,,
1962-08-13,,0.639918,,,,,,,,,,,,,
1962-08-14,,0.660494,,,,,,,,,,,,,
1962-08-15,,0.664609,,,,,,,,,,,,,
1962-08-16,,0.691358,,,,,,,,,,,,,
1962-08-17,,0.716049,,,,,,,,,,,,,
1962-08-20,,0.693416,,,,,,,,,,,,,
1962-08-21,,0.707819,,,,,,,,,,,,,
1962-08-22,,0.707819,,,,,,,,,,,,,
1962-08-23,,0.697531,,,,,,,,,,,,,
1962-08-24,,0.691358,,,,,,,,,,,,,
1962-08-27,,0.68107,,,,,,,,,,,,,
1962-08-28,,0.666667,,,,,,,,,,,,,
1962-08-29,,0.668724,,,,,,,,,,,,,
1962-08-30,,0.654321,,,,,,,,,,,,,
1962-08-31,,0.666667,,,,,,,,,,,,,
1962-09-04,,0.652263,,,,,,,,,,,,,
1962-09-05,,0.654321,,,,,,,,,,,,,
1962-09-06,,0.656379,,,,,,,,,,,,,
1962-09-07,,0.654321,,,,,,,,,,,,,
